# manifest-root	/tmp/aelx/L-END/transaction-order-c-no-origin/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	6	192	-	-
archive	dir	700	3	96	-	-
archive/e6f8f192-91d9-4968-8097-dc83e1e5b818	dir	700	7	224	-	-
archive/e6f8f192-91d9-4968-8097-dc83e1e5b818/digest.md	file	600	1	1547	-	cb3bc6f6a24f826c8367aca15b32a78de11684689a7533d97b8dd15e163db823
archive/e6f8f192-91d9-4968-8097-dc83e1e5b818/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/e6f8f192-91d9-4968-8097-dc83e1e5b818/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/e6f8f192-91d9-4968-8097-dc83e1e5b818/messages	dir	700	2	64	-	-
archive/e6f8f192-91d9-4968-8097-dc83e1e5b818/meta	file	600	1	900	-	c734c64a09fbf0dec9a617445c63ac4e8e57db98c6534e7694ac74df82f93123
config	file	644	1	210	-	0c50eb0640e4335d20585fd0dca9788ff3b9754f222ab355ca0a18a44fbd724a
sessions	dir	755	3	96	-	-
sessions/.lifecycle.txc-no-origin.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
worktrees	dir	755	3	96	-	-
worktrees/txc-no-origin	dir	755	5	160	-	-
worktrees/txc-no-origin/.git	file	644	1	93	-	5b8de8d1e972722f894ca3892c813d24bcd387fed678ce919dfa677d52a17985
worktrees/txc-no-origin/README.md	file	644	1	5	-	4a6689419b00b11700c9b6246bcfa8936c8f5e1e824db3a7e57030e2d1c1a684
worktrees/txc-no-origin/wip.txt	file	644	1	29	-	db1b7c27eb6fd12ce869e9ce30466110e3cf4768d32eb36e208a18f0460e9c33
