# manifest-root	/tmp/aelx/L-END/transaction-order-c-no-origin/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
config	file	644	1	210	-	0c50eb0640e4335d20585fd0dca9788ff3b9754f222ab355ca0a18a44fbd724a
sessions	dir	755	4	128	-	-
sessions/.lifecycle.txc-no-origin.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/txc-no-origin	dir	700	29	928	-	-
sessions/txc-no-origin/_lib	file	700	1	38617	-	91da0d9b5bcd6d3c8abcd5c974fe7be0c63a329ba5971cbbb57b6fd8e71a2d40
sessions/txc-no-origin/_register-sid	file	700	1	4618	-	c721ca5febeedffb03db2f4fc0b50034e3e4674d1a95fac7715e345242ad1811
sessions/txc-no-origin/agents	file	700	1	1190	-	e97fd815e17b2c05af59e74dff8e86a7a4758699bf440f83508ff6601207cff6
sessions/txc-no-origin/ask	file	700	1	452	-	b9e34f5a19049f490477578df6890a104eece6212ab71c7252599ba08a23f67e
sessions/txc-no-origin/events-tail	file	700	1	2876	-	3a238f619cef096f841b46154f733cf69c02ed692140f476d0d922a9920f1f79
sessions/txc-no-origin/focus	file	700	1	555	-	b99c064fc6d6cedb48a4ac6506bc7eadb91eb78784976c7e8aa8b37a71c1ae34
sessions/txc-no-origin/goal	file	700	1	1247	-	19aaeae31baaeb7683213c5d796e00f0791d5c2ca575a66663e113d1970f811d
sessions/txc-no-origin/interrupt	file	700	1	1447	-	c4ae6dd3260d97d9531a7d5431cfd70448e784e926cc8fb97d168dffc706a949
sessions/txc-no-origin/launch.main.sh	file	700	1	15141	-	24b7fc4102a7e5f68ca2f89631cee2199f3debe96628af25caaee558eb5874ed
sessions/txc-no-origin/launch.main.started	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/txc-no-origin/loop	file	700	1	158	-	9ccb473ebd8d94e93b1b5963e3791abdf1c7a2f36d3a7c3cda5ca9ad7029e411
sessions/txc-no-origin/mark-done	file	700	1	200	-	e6ac70ef4b06895da3c0c2c467bb516fe78d2e893edb68f8208f2a32b4fafe98
sessions/txc-no-origin/memo	file	700	1	2291	-	015b02d44e3f623ed36c0f5d562c8d17e562383c178b59898bd90e8c24aa3389
sessions/txc-no-origin/meta	file	644	1	662	-	dab1773e16a1c9099a5df656304dcc4648976bc4de5f274369de5797246ee18e
sessions/txc-no-origin/meta.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/txc-no-origin/peak	file	700	1	73	-	e80cd4509934a5aa3cd1ed857cda8b359aad9f19f481a21fa6f21243b62442dd
sessions/txc-no-origin/peek	file	700	1	707	-	aca933b1b14b03b1e277e28516a60928d6c24020fd6cc4af909ae1accb095759
sessions/txc-no-origin/reply	file	700	1	3175	-	7d60a140b30bbbe0ddd15e5d8f343b21d4e284bec69df6a56c109cdd906f3a41
sessions/txc-no-origin/requests	file	700	1	8092	-	12250cf45a289ed6f42a48139df9e420ad6f07102f99590641550b92d2358ffe
sessions/txc-no-origin/retire	file	700	1	1028	-	1883cb76e0d3222a86f3bb9147b410a31d5b41b4358c28c1fca19398a5006a7b
sessions/txc-no-origin/review	file	700	1	801	-	c84399469d74eda29059d073f8550bd2b937f6f515b08bcdc33b56d3c4f70393
sessions/txc-no-origin/say	file	700	1	873	-	ffe33dded31fae60aa35b83fd9df5e783f2a110bd7753865940fdda5704b624c
sessions/txc-no-origin/send	file	700	1	2770	-	91b0ec71a12125546951f5cac6c90958940b5d153ba8164524bb951e10fb24a8
sessions/txc-no-origin/spawn	file	700	1	930	-	336e8271fef419a91d513d4f279f8b220376861c53e39120540d812c3598a6a9
sessions/txc-no-origin/state	file	700	1	1560	-	986a6441f22f3f13385a5a492779081d28aaf38e7239f440078c8ff395cc9100
sessions/txc-no-origin/watchdog	file	700	1	46130	-	d84a15e45271d9ea64fb4f188c0be59f7be2c898c95e18b4ec3b46e25de06cc1
sessions/txc-no-origin/workspace.md	file	644	1	9968	-	fcb7e4cf9529c272c8a3718a507ded63915a7b518296589a62ca9a1d5dabca34
worktrees	dir	755	3	96	-	-
worktrees/txc-no-origin	dir	755	5	160	-	-
worktrees/txc-no-origin/.git	file	644	1	93	-	5b8de8d1e972722f894ca3892c813d24bcd387fed678ce919dfa677d52a17985
worktrees/txc-no-origin/README.md	file	644	1	5	-	4a6689419b00b11700c9b6246bcfa8936c8f5e1e824db3a7e57030e2d1c1a684
worktrees/txc-no-origin/wip.txt	file	644	1	29	-	db1b7c27eb6fd12ce869e9ce30466110e3cf4768d32eb36e208a18f0460e9c33
