# manifest-root	/tmp/aelx/L-FROM/mid-publication/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	4	128	-	-
archive/.publishing.2814388f-602c-42e5-85da-9920f1e8e1aa	dir	700	2	64	-	-
archive/2814388f-602c-42e5-85da-9920f1e8e1aa	dir	700	7	224	-	-
archive/2814388f-602c-42e5-85da-9920f1e8e1aa/digest.md	file	600	1	1295	-	a453c4f8692cbc330e61d4d4692583ece8d77d7e94475184f7e075e377db9d5d
archive/2814388f-602c-42e5-85da-9920f1e8e1aa/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/2814388f-602c-42e5-85da-9920f1e8e1aa/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/2814388f-602c-42e5-85da-9920f1e8e1aa/messages	dir	700	2	64	-	-
archive/2814388f-602c-42e5-85da-9920f1e8e1aa/meta	file	600	1	648	-	5622eaf4758ac63490e33f1a5c1e931746b79044eae800771706a69740004fe9
config	file	644	1	184	-	a8f506bf89eaf5d857aab3a533dc581443e81e9b6fa95caecc18536eda66be69
sessions	dir	755	3	96	-	-
sessions/.lifecycle.par.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
