# manifest-root	/tmp/aelx/L-FROM/minted-at-end/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	3	96	-	-
archive/0c2a9ea4-987b-45d4-982e-3ec7ee769dba	dir	700	7	224	-	-
archive/0c2a9ea4-987b-45d4-982e-3ec7ee769dba/digest.md	file	600	1	1352	-	6418274fd07559de4cd791c3a6e52b4ece2d6ff2d04f36bc2498cf3d5ee844d4
archive/0c2a9ea4-987b-45d4-982e-3ec7ee769dba/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/0c2a9ea4-987b-45d4-982e-3ec7ee769dba/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/0c2a9ea4-987b-45d4-982e-3ec7ee769dba/messages	dir	700	2	64	-	-
archive/0c2a9ea4-987b-45d4-982e-3ec7ee769dba/meta	file	600	1	617	-	0ec6fff9e59efac77326cebad509abff4bd0f898f26b07f4ea1706b7b62ba177
config	file	644	1	180	-	766bd372536bb85f60126e57d172ece6c5b016eec2e3d805ed5f1f42e59611a7
sessions	dir	755	3	96	-	-
sessions/.lifecycle.leg.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
