# manifest-root	/tmp/aelx/L-FROM/transport-cut/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	3	96	-	-
archive/22685cdf-baa8-48ae-b493-bbe00cbb7a01	dir	700	7	224	-	-
archive/22685cdf-baa8-48ae-b493-bbe00cbb7a01/digest.md	file	600	1	1293	-	3bc5ada987485d12892789481be0ca41594a1322ca86b8dfa0d41f15dedd4c69
archive/22685cdf-baa8-48ae-b493-bbe00cbb7a01/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/22685cdf-baa8-48ae-b493-bbe00cbb7a01/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/22685cdf-baa8-48ae-b493-bbe00cbb7a01/messages	dir	700	2	64	-	-
archive/22685cdf-baa8-48ae-b493-bbe00cbb7a01/meta	file	600	1	646	-	efd48c6bec596846cf867057ce5168ee478d95c61ee6392d152ee1f6755d16f1
config	file	644	1	180	-	bbf4c91bf78e1dcee5f63443d0b945c2bacdfb84ba8bc1fab36d388e3a6dd852
sessions	dir	755	3	96	-	-
sessions/.lifecycle.par.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
