arm	execution-sentinel-from
section	L-PURGE
roster_ids	SC-805
fixture	REAL archive produced in THIS sandbox by a real frozen end cut at a barrier; the arm mutation is applied afterwards and diffed
construction	an archive member is replaced by a shebang script whose body would write a sentinel OUTSIDE the archive, and is given executable bits; ONE archive-consuming operation runs on this clone
template_uuid	fa7ac70c-6981-4e31-bb2f-4069a1ffdc37
binary	84f68ac8f14bd9686d34a9153eaafbce575e6a4066e0d44c258423c9a9300f18
archive_consuming_op	from
op_rc	1
sentinel_before	no
sentinel_after	no
