# manifest-root	/tmp/aelx/L-PURGE/lineage-parent-literal/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	5	160	-	-
archive	dir	700	3	96	-	-
archive/c29d85f7-69a5-428b-9812-005e48f951ab	dir	700	7	224	-	-
archive/c29d85f7-69a5-428b-9812-005e48f951ab/digest.md	file	600	1	1302	-	8ceb92725dadaabe4ef683ed7191e66e630aee2981a9650e0dc961c10398da40
archive/c29d85f7-69a5-428b-9812-005e48f951ab/events.jsonl	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/c29d85f7-69a5-428b-9812-005e48f951ab/memo.tsv	file	600	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
archive/c29d85f7-69a5-428b-9812-005e48f951ab/messages	dir	700	2	64	-	-
archive/c29d85f7-69a5-428b-9812-005e48f951ab/meta	file	600	1	655	-	6fa5609170a64ae80c83d0df94343136742df5bfa632cdb3275fd559e1de99b6
config	file	644	1	200	-	05c04398916e23a2fd39b1aee64e40a66235b3d5aaeb2269857f9457fd13673f
sessions	dir	755	4	128	-	-
sessions/.lifecycle.ch.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/.lifecycle.pp.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
