arm	validator-taxonomy-b2-fifo-inside-purge
section	L-PURGE
roster_ids	SC-804b SC-818c
fixture	REAL archive produced in THIS sandbox by a real frozen end cut at a barrier; the arm mutation is applied afterwards and diffed
construction	sibling of b1: the archive member memo.tsv is replaced by a FIFO of mode 0600; this clone drives the purge path ONLY
template_uuid	90fc515a-ed2c-4dc8-8d11-610a941eafc2
binary	84f68ac8f14bd9686d34a9153eaafbce575e6a4066e0d44c258423c9a9300f18
case	b2-fifo-inside
side	purge
mutation_target	memo.tsv
op	ae end -f --purge-history pg
op_rc	1
also_covers	SC-818c (post-state manifests of the archive root and the session state after the attempt)
