# manifest-root	/tmp/aelx/L-STOP/plain-stop/h/.ae
#path	type	mode	nlink	size	link	sha256
.	dir	755	4	128	-	-
config	file	644	1	174	-	5ef30c440265ff21d9ce0370624211e9b88e2d5b78df0d11ab1fdef8bcab0a1b
sessions	dir	755	8	256	-	-
sessions/.lifecycle.other.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/.lifecycle.proj.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/.lifecycle.projx.lock	file	644	1	0	-	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
sessions/other	dir	700	30	960	-	-
sessions/other/.watchdog.pid	file	644	1	6	-	12a68bd5c89e891bbc0ba4b9295ebe3bcf06016b48447d031a24ab8cec76747f
sessions/other/_lib	file	700	1	38617	-	91da0d9b5bcd6d3c8abcd5c974fe7be0c63a329ba5971cbbb57b6fd8e71a2d40
sessions/other/_register-sid	file	700	1	4618	-	c721ca5febeedffb03db2f4fc0b50034e3e4674d1a95fac7715e345242ad1811
sessions/other/agents	file	700	1	1190	-	e97fd815e17b2c05af59e74dff8e86a7a4758699bf440f83508ff6601207cff6
sessions/other/ask	file	700	1	452	-	b9e34f5a19049f490477578df6890a104eece6212ab71c7252599ba08a23f67e
sessions/other/events-tail	file	700	1	2876	-	3a238f619cef096f841b46154f733cf69c02ed692140f476d0d922a9920f1f79
sessions/other/focus	file	700	1	555	-	b99c064fc6d6cedb48a4ac6506bc7eadb91eb78784976c7e8aa8b37a71c1ae34
sessions/other/goal	file	700	1	1247	-	19aaeae31baaeb7683213c5d796e00f0791d5c2ca575a66663e113d1970f811d
sessions/other/interrupt	file	700	1	1447	-	c4ae6dd3260d97d9531a7d5431cfd70448e784e926cc8fb97d168dffc706a949
sessions/other/launch.main.sh	file	700	1	13917	-	121a044a1ad51c95f69637f3b2e1f628f36445e8283a73302c8d8dd4fda3334f
