member	published_entries	manifest_count	manifest_line_counts	classification
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510b-empty-vs-omitted	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510c-recover-ref	4	2	33	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510e-dupkey-known	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510e-dupkey-known-reversed	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510f-dupkey-unknown	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/510f-dupkey-unknown-reversed	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A1/fixture-bytes/511a-omitted-routing	4	2	39	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A2/fixture-bytes/composite	30	7	317	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A3/fixture-bytes/017g-unanswered-vs-agent-owned	4	2	38	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A3/fixture-bytes/524a-future-ts-ordinary-mtime	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A3/fixture-bytes/524b-ordinary-ts-future-mtime	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/competing-noclear	4	2	39	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-blocked-over-throttled	3	2	33	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-dead-over-stale	5	2	38	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-stale-over-waitinguser	5	2	38	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-throttled-over-unanswered	4	2	38	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A3b/fixture-bytes/pair-waitinguser-over-blocked	3	2	33	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A5/fixture-bytes/doctor-fixture	3	7	32,33	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-all-empty-members	4	0	-	NO-RECORDED-MANIFEST
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-full-fresh	4	0	-	NO-RECORDED-MANIFEST
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-keyless-legacy	4	0	-	NO-RECORDED-MANIFEST
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-one-empty-member	4	0	-	NO-RECORDED-MANIFEST
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-session-only	4	0	-	NO-RECORDED-MANIFEST
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-slot-only	4	0	-	NO-RECORDED-MANIFEST
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/405j-stale-mismatched-keys	4	0	-	NO-RECORDED-MANIFEST
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/branch-two-sources	3	4	30	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/goal-order-agreeing	3	2	32	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/goal-order-opposed	3	2	32	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/goal-order-single	3	2	32	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/meta-duplicate-key	3	2	32	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/meta-multi-equals	3	2	32	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/pair-405j-all-empty	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/pair-405j-full-fresh	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/pair-405j-keyless	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/pair-405j-one-empty	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/pair-405j-session-only	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/pair-405j-slot-only	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A7/fixture-bytes/pair-405j-stale-keys	7	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/A9/fixture-bytes/meta-absent	6	3	41	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/D/fixture-bytes/d02-pending-with-harvested-reply	6	2	40,41	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/D/fixture-bytes/d03-31-numbered-events	6	7	39	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G1/fixture-bytes/healthy	6	9	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G10/fixture-bytes/display-only-legacy	6	2	42	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G10/fixture-bytes/same-display-diff-routing	5	2	39	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G11/fixture-bytes/escapes	13	2	49	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G2/fixture-bytes/blocked	3	2	33	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G2/fixture-bytes/dead	3	2	32	STORE-SHAPED
docs/migration/evidence/batch-c-artifacts/templates/G2/fixture-bytes/stale	5	2	37	STORE-SHAPED
