idx	case	consumer	verdict	detail	b_sessions	s_sessions	b_cover	s_cover
1	arms/A1/c01-healthy-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
3	arms/A1/c01-healthy-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
5	arms/A1/c01-healthy-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
6	arms/A1/c01-healthy-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
9	arms/A1/c01-healthy-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
11	arms/A1/c01-healthy-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
13	arms/A1/c01-healthy-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
14	arms/A1/c01-healthy-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
17	arms/A1/c02-meta-mode-000-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
19	arms/A1/c02-meta-mode-000-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
21	arms/A1/c02-meta-mode-000-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
22	arms/A1/c02-meta-mode-000-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
25	arms/A1/c02-meta-mode-000-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
27	arms/A1/c02-meta-mode-000-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
29	arms/A1/c02-meta-mode-000-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
30	arms/A1/c02-meta-mode-000-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
33	arms/A1/c03-malformed-line-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
35	arms/A1/c03-malformed-line-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
37	arms/A1/c03-malformed-line-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
38	arms/A1/c03-malformed-line-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
41	arms/A1/c03-malformed-line-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
43	arms/A1/c03-malformed-line-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
45	arms/A1/c03-malformed-line-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
46	arms/A1/c03-malformed-line-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
49	arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
51	arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
53	arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
54	arms/A1/c04-empty-vs-omitted-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
57	arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
59	arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
61	arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
62	arms/A1/c04-empty-vs-omitted-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
65	arms/A1/c05-recover-ref-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
67	arms/A1/c05-recover-ref-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
69	arms/A1/c05-recover-ref-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
70	arms/A1/c05-recover-ref-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
73	arms/A1/c05-recover-ref-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
75	arms/A1/c05-recover-ref-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
77	arms/A1/c05-recover-ref-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
78	arms/A1/c05-recover-ref-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
81	arms/A1/c06-escapes-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
83	arms/A1/c06-escapes-ro/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
85	arms/A1/c06-escapes-ro/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
86	arms/A1/c06-escapes-ro/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
89	arms/A1/c06-escapes-rw/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
91	arms/A1/c06-escapes-rw/consumers.tsv	list-all	layout-open	semantic-held	1	1	1	1
93	arms/A1/c06-escapes-rw/consumers.tsv	ls-alias	layout-open	semantic-held	0	1	1	1
94	arms/A1/c06-escapes-rw/consumers.tsv	ls-alias-all	layout-open	semantic-held	1	1	1	1
97	arms/A1/c07-dupkey-known-ro/consumers.tsv	list	layout-open	semantic-held	0	1	1	1
