2026-08-20T19:11:06Z	setup	arm	t100-A-blocked
2026-08-20T19:11:06Z	setup	knobs	INTERVAL=5 STALE_MIN=1 QUIET_SETTLE_BEAT=1 QUIET_SETTLE=4 QUIET_STABILIZE_PER_CYCLE=4 MAX_NUDGES=2
2026-08-20T19:11:13Z	setup	launch.rc	1
2026-08-20T19:11:13Z	setup	agent.pane	%0
2026-08-20T19:11:13Z	setup	agent.ref	grok:grok
2026-08-20T19:11:13Z	setup	scrubber.sha256	96315e4eb3ec56fc71b4e04366f7a13b4650f44022b950e0fa021d8b283eb4de
2026-08-20T19:11:13Z	ctl0	pane.raw.bytes	125
2026-08-20T19:11:13Z	ctl0	pane.raw.sha256	a41aacd7003f4edfc946064bdf1bef06e4e57385e3b8453d450409d23cb6cbbe
2026-08-20T19:11:13Z	ctl0	scrubbed.hash	d19ed19a2754e919c298c338985354e2
2026-08-20T19:11:13Z	ctl	write.tty	/dev/ttys028
2026-08-20T19:11:13Z	ctl	write.text	INSTRUMENT-CONTROL-MARKER-3685
2026-08-20T19:11:14Z	ctl1	pane.raw.bytes	155
2026-08-20T19:11:14Z	ctl1	pane.raw.sha256	d6315d135dd4e6801547df183ce931bf28216d537d0b337056f37b107780e359
2026-08-20T19:11:14Z	ctl1	scrubbed.hash	020891ea8f02dd786cc10e3a30a8a21a
2026-08-20T19:11:14Z	control	plain-write.hash.before	d19ed19a2754e919c298c338985354e2
2026-08-20T19:11:14Z	control	plain-write.hash.after	020891ea8f02dd786cc10e3a30a8a21a
2026-08-20T19:11:14Z	control	plain-write.registered	YES
2026-08-20T19:11:14Z	control	base.stripped.hash	020891ea8f02dd786cc10e3a30a8a21a
2026-08-20T19:11:14Z	control	nudge-shaped.hash	020891ea8f02dd786cc10e3a30a8a21a
2026-08-20T19:11:14Z	control	nudge-shaped.registered	NO
2026-08-20T19:11:14Z	yield	write.tty	/dev/ttys028
2026-08-20T19:11:14Z	yield	write.text	FORCED-INITIAL-YIELD-MARKER-3685
2026-08-20T19:11:14Z	yield	write.done	a marker is written to the observed pane so it demonstrably CHANGES before the declaration
2026-08-20T19:11:14Z	settle0	pane.raw.bytes	187
2026-08-20T19:11:14Z	settle0	pane.raw.sha256	217853d72f221f54fbf95449c234b5b46a60361701060444aab48402b385105d
2026-08-20T19:11:14Z	settle0	scrubbed.hash	211532200b47e27f12ab5f02bb58e270
2026-08-20T19:11:15Z	settle1	pane.raw.bytes	187
2026-08-20T19:11:15Z	settle1	pane.raw.sha256	217853d72f221f54fbf95449c234b5b46a60361701060444aab48402b385105d
2026-08-20T19:11:15Z	settle1	scrubbed.hash	211532200b47e27f12ab5f02bb58e270
2026-08-20T19:11:15Z	yield	settle.samples	1
2026-08-20T19:11:15Z	yield	settle.hash	211532200b47e27f12ab5f02bb58e270
2026-08-20T19:11:15Z	t0-pre-declaration	pane.raw.bytes	187
2026-08-20T19:11:15Z	t0-pre-declaration	pane.raw.sha256	217853d72f221f54fbf95449c234b5b46a60361701060444aab48402b385105d
2026-08-20T19:11:15Z	t0-pre-declaration	scrubbed.hash	211532200b47e27f12ab5f02bb58e270
2026-08-20T19:11:15Z	t0-pre-declaration	events.lines	0
2026-08-20T19:11:15Z	t0-pre-declaration	events.nudges	0
2026-08-20T19:11:15Z	t0-pre-declaration	wdlog.lines	8
2026-08-20T19:11:16Z	declare	planted.pane	%3
2026-08-20T19:11:17Z	declare	state.rc	0
2026-08-20T19:11:17Z	declare	state.stdout	Marked grok:grok blocked: T-100 arm A
2026-08-20T19:11:17Z	declare	planted.pane.retired	the planted window is killed immediately after the helper returns
2026-08-20T19:11:18Z	declaration-echo	write.tty	/dev/ttys028
2026-08-20T19:11:18Z	declaration-echo	write.text	Marked grok:grok blocked: T-100 arm A
2026-08-20T19:11:18Z	declare	echo.relocated	Marked grok:grok blocked: T-100 arm A
2026-08-20T19:11:20Z	t1-post-declaration	pane.raw.bytes	224
2026-08-20T19:11:20Z	t1-post-declaration	pane.raw.sha256	4561e4a053c6c69be31f14924c3857cb13ac7c27812edeec2c03b28d62c53193
2026-08-20T19:11:20Z	t1-post-declaration	scrubbed.hash	211532200b47e27f12ab5f02bb58e270
2026-08-20T19:11:20Z	t1-post-declaration	events.lines	1
2026-08-20T19:11:20Z	t1-post-declaration	events.nudges	0
2026-08-20T19:11:20Z	t1-post-declaration	wdlog.lines	9
2026-08-20T19:11:20Z	declare	nudges.at.declaration	0
2026-08-20T19:11:20Z	source	plan	NUDGE-ONLY: no further write of any kind is made to the observed pane
2026-08-20T19:11:25Z	c01	pane.raw.bytes	224
2026-08-20T19:11:25Z	c01	pane.raw.sha256	4561e4a053c6c69be31f14924c3857cb13ac7c27812edeec2c03b28d62c53193
2026-08-20T19:11:25Z	c01	scrubbed.hash	211532200b47e27f12ab5f02bb58e270
2026-08-20T19:11:25Z	c01	events.lines	1
2026-08-20T19:11:25Z	c01	events.nudges	0
2026-08-20T19:11:25Z	c01	wdlog.lines	10
2026-08-20T19:11:25Z	c01	nudges.total	0
