2026-08-20T19:08:16Z	setup	arm	t100-A-waiting-user
2026-08-20T19:08:16Z	setup	knobs	INTERVAL=5 STALE_MIN=1 QUIET_SETTLE_BEAT=1 QUIET_SETTLE=4 QUIET_STABILIZE_PER_CYCLE=4 MAX_NUDGES=2
2026-08-20T19:08:23Z	setup	launch.rc	1
2026-08-20T19:08:23Z	setup	agent.pane	%0
2026-08-20T19:08:23Z	setup	agent.ref	grok:grok
2026-08-20T19:08:23Z	setup	scrubber.sha256	96315e4eb3ec56fc71b4e04366f7a13b4650f44022b950e0fa021d8b283eb4de
2026-08-20T19:08:23Z	ctl0	pane.raw.bytes	130
2026-08-20T19:08:23Z	ctl0	pane.raw.sha256	a50bd621b32456254554066959852865611d57be119c60203fdf5196dd7de900
2026-08-20T19:08:23Z	ctl0	scrubbed.hash	59726c9bf9484a7b82bc36aac9df77ed
2026-08-20T19:08:23Z	ctl	write.tty	/dev/ttys028
2026-08-20T19:08:23Z	ctl	write.text	INSTRUMENT-CONTROL-MARKER-52136
2026-08-20T19:08:24Z	ctl1	pane.raw.bytes	161
2026-08-20T19:08:24Z	ctl1	pane.raw.sha256	6cdb3f91f03e4982c767c2c8b9799d6ad3769e1532eedee38f07dc187f14527b
2026-08-20T19:08:24Z	ctl1	scrubbed.hash	082644e93f40dcd7e26cf0a5c7610cd7
2026-08-20T19:08:24Z	control	plain-write.hash.before	59726c9bf9484a7b82bc36aac9df77ed
2026-08-20T19:08:24Z	control	plain-write.hash.after	082644e93f40dcd7e26cf0a5c7610cd7
2026-08-20T19:08:24Z	control	plain-write.registered	YES
2026-08-20T19:08:24Z	control	base.stripped.hash	082644e93f40dcd7e26cf0a5c7610cd7
2026-08-20T19:08:24Z	control	nudge-shaped.hash	082644e93f40dcd7e26cf0a5c7610cd7
2026-08-20T19:08:24Z	control	nudge-shaped.registered	NO
2026-08-20T19:08:24Z	yield	write.tty	/dev/ttys028
2026-08-20T19:08:24Z	yield	write.text	FORCED-INITIAL-YIELD-MARKER-52136
2026-08-20T19:08:24Z	yield	write.done	a marker is written to the observed pane so it demonstrably CHANGES before the declaration
2026-08-20T19:08:24Z	settle0	pane.raw.bytes	194
2026-08-20T19:08:24Z	settle0	pane.raw.sha256	96eac3d09c3d9af850c732465b0f88835d4dd80a4d816b8057db19d5e77aa064
2026-08-20T19:08:24Z	settle0	scrubbed.hash	f1e13aff3f91e4f12dae5ad08cd8dfb7
2026-08-20T19:08:25Z	settle1	pane.raw.bytes	194
2026-08-20T19:08:25Z	settle1	pane.raw.sha256	96eac3d09c3d9af850c732465b0f88835d4dd80a4d816b8057db19d5e77aa064
2026-08-20T19:08:25Z	settle1	scrubbed.hash	f1e13aff3f91e4f12dae5ad08cd8dfb7
2026-08-20T19:08:25Z	yield	settle.samples	1
2026-08-20T19:08:25Z	yield	settle.hash	f1e13aff3f91e4f12dae5ad08cd8dfb7
2026-08-20T19:08:25Z	t0-pre-declaration	pane.raw.bytes	194
2026-08-20T19:08:25Z	t0-pre-declaration	pane.raw.sha256	96eac3d09c3d9af850c732465b0f88835d4dd80a4d816b8057db19d5e77aa064
2026-08-20T19:08:25Z	t0-pre-declaration	scrubbed.hash	f1e13aff3f91e4f12dae5ad08cd8dfb7
2026-08-20T19:08:25Z	t0-pre-declaration	events.lines	0
2026-08-20T19:08:25Z	t0-pre-declaration	events.nudges	0
2026-08-20T19:08:25Z	t0-pre-declaration	wdlog.lines	8
2026-08-20T19:08:26Z	declare	planted.pane	%3
2026-08-20T19:08:27Z	declare	state.rc	0
2026-08-20T19:08:27Z	declare	state.stdout	Marked grok:grok waiting-user: T-100 arm A
2026-08-20T19:08:27Z	declare	planted.pane.retired	the planted window is killed immediately after the helper returns
2026-08-20T19:08:28Z	declaration-echo	write.tty	/dev/ttys028
