2026-08-20T19:17:05Z	setup	arm	t100-B-blocked
2026-08-20T19:17:05Z	setup	knobs	INTERVAL=5 STALE_MIN=1 QUIET_SETTLE_BEAT=1 QUIET_SETTLE=4 QUIET_STABILIZE_PER_CYCLE=4 MAX_NUDGES=2
2026-08-20T19:17:12Z	setup	launch.rc	1
2026-08-20T19:17:12Z	setup	agent.pane	%0
2026-08-20T19:17:12Z	setup	agent.ref	grok:grok
2026-08-20T19:17:12Z	setup	scrubber.sha256	96315e4eb3ec56fc71b4e04366f7a13b4650f44022b950e0fa021d8b283eb4de
2026-08-20T19:17:12Z	ctl0	pane.raw.bytes	125
2026-08-20T19:17:12Z	ctl0	pane.raw.sha256	e10b198b835691e5a67f8a70ce95d632bdea4aeb861d04086292dfa3a9495e80
2026-08-20T19:17:12Z	ctl0	scrubbed.hash	c1d8765dc302099fbece35bbc0f0831d
2026-08-20T19:17:12Z	ctl	write.tty	/dev/ttys028
2026-08-20T19:17:12Z	ctl	write.text	INSTRUMENT-CONTROL-MARKER-3797
2026-08-20T19:17:13Z	ctl1	pane.raw.bytes	155
2026-08-20T19:17:13Z	ctl1	pane.raw.sha256	ca07a27716a708c263be28cef679fdaeef53a41ab5c614a2b26ffa76ea24152c
2026-08-20T19:17:13Z	ctl1	scrubbed.hash	00325abec9fb619444400830c6adfc57
2026-08-20T19:17:13Z	control	plain-write.hash.before	c1d8765dc302099fbece35bbc0f0831d
2026-08-20T19:17:13Z	control	plain-write.hash.after	00325abec9fb619444400830c6adfc57
2026-08-20T19:17:13Z	control	plain-write.registered	YES
2026-08-20T19:17:13Z	control	base.stripped.hash	00325abec9fb619444400830c6adfc57
2026-08-20T19:17:13Z	control	nudge-shaped.hash	00325abec9fb619444400830c6adfc57
2026-08-20T19:17:13Z	control	nudge-shaped.registered	NO
2026-08-20T19:17:13Z	yield	write.tty	/dev/ttys028
2026-08-20T19:17:13Z	yield	write.text	FORCED-INITIAL-YIELD-MARKER-3797
2026-08-20T19:17:13Z	yield	write.done	a marker is written to the observed pane so it demonstrably CHANGES before the declaration
2026-08-20T19:17:13Z	settle0	pane.raw.bytes	187
2026-08-20T19:17:13Z	settle0	pane.raw.sha256	c650b4e7d66b818b0e81d35958f5ab4e9eb87f4f79a05051c9fbd6ef5778ce36
2026-08-20T19:17:13Z	settle0	scrubbed.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:14Z	settle1	pane.raw.bytes	187
2026-08-20T19:17:14Z	settle1	pane.raw.sha256	c650b4e7d66b818b0e81d35958f5ab4e9eb87f4f79a05051c9fbd6ef5778ce36
2026-08-20T19:17:14Z	settle1	scrubbed.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:14Z	yield	settle.samples	1
2026-08-20T19:17:14Z	yield	settle.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:14Z	t0-pre-declaration	pane.raw.bytes	187
2026-08-20T19:17:15Z	t0-pre-declaration	pane.raw.sha256	c650b4e7d66b818b0e81d35958f5ab4e9eb87f4f79a05051c9fbd6ef5778ce36
2026-08-20T19:17:15Z	t0-pre-declaration	scrubbed.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:15Z	t0-pre-declaration	events.lines	0
2026-08-20T19:17:15Z	t0-pre-declaration	events.nudges	0
2026-08-20T19:17:15Z	t0-pre-declaration	wdlog.lines	8
2026-08-20T19:17:16Z	declare	planted.pane	%3
2026-08-20T19:17:16Z	declare	state.rc	0
2026-08-20T19:17:16Z	declare	state.stdout	Marked grok:grok blocked: T-100 arm B
2026-08-20T19:17:16Z	declare	planted.pane.retired	the planted window is killed immediately after the helper returns
2026-08-20T19:17:17Z	declaration-echo	write.tty	/dev/ttys028
2026-08-20T19:17:17Z	declaration-echo	write.text	Marked grok:grok blocked: T-100 arm B
2026-08-20T19:17:17Z	declare	echo.relocated	Marked grok:grok blocked: T-100 arm B
2026-08-20T19:17:19Z	t1-post-declaration	pane.raw.bytes	224
2026-08-20T19:17:19Z	t1-post-declaration	pane.raw.sha256	4e9e2cb05b14ea84006fec5cf73c6b967493662b2cce8030f4b85bcdb39f89b9
2026-08-20T19:17:19Z	t1-post-declaration	scrubbed.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:19Z	t1-post-declaration	events.lines	1
2026-08-20T19:17:19Z	t1-post-declaration	events.nudges	0
2026-08-20T19:17:19Z	t1-post-declaration	wdlog.lines	9
2026-08-20T19:17:19Z	declare	nudges.at.declaration	0
2026-08-20T19:17:19Z	source	plan	INDUCED RESPONSE: bounded wait for a nudge event, then ONE fixed canned line written to the observed pane; the state is NOT redeclared
2026-08-20T19:17:24Z	c01	pane.raw.bytes	224
2026-08-20T19:17:24Z	c01	pane.raw.sha256	4e9e2cb05b14ea84006fec5cf73c6b967493662b2cce8030f4b85bcdb39f89b9
2026-08-20T19:17:24Z	c01	scrubbed.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:24Z	c01	events.lines	1
2026-08-20T19:17:24Z	c01	events.nudges	0
2026-08-20T19:17:24Z	c01	wdlog.lines	10
2026-08-20T19:17:24Z	c01	nudges.total	0
2026-08-20T19:17:29Z	c02	pane.raw.bytes	224
2026-08-20T19:17:29Z	c02	pane.raw.sha256	4e9e2cb05b14ea84006fec5cf73c6b967493662b2cce8030f4b85bcdb39f89b9
2026-08-20T19:17:29Z	c02	scrubbed.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:29Z	c02	events.lines	1
2026-08-20T19:17:29Z	c02	events.nudges	0
2026-08-20T19:17:29Z	c02	wdlog.lines	12
2026-08-20T19:17:29Z	c02	nudges.total	0
2026-08-20T19:17:34Z	c03	pane.raw.bytes	224
2026-08-20T19:17:34Z	c03	pane.raw.sha256	4e9e2cb05b14ea84006fec5cf73c6b967493662b2cce8030f4b85bcdb39f89b9
2026-08-20T19:17:34Z	c03	scrubbed.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:34Z	c03	events.lines	1
2026-08-20T19:17:34Z	c03	events.nudges	0
2026-08-20T19:17:34Z	c03	wdlog.lines	14
2026-08-20T19:17:34Z	c03	nudges.total	0
2026-08-20T19:17:40Z	c04	pane.raw.bytes	224
2026-08-20T19:17:40Z	c04	pane.raw.sha256	4e9e2cb05b14ea84006fec5cf73c6b967493662b2cce8030f4b85bcdb39f89b9
2026-08-20T19:17:40Z	c04	scrubbed.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:40Z	c04	events.lines	1
2026-08-20T19:17:40Z	c04	events.nudges	0
2026-08-20T19:17:40Z	c04	wdlog.lines	16
2026-08-20T19:17:40Z	c04	nudges.total	0
2026-08-20T19:17:45Z	c05	pane.raw.bytes	224
2026-08-20T19:17:45Z	c05	pane.raw.sha256	4e9e2cb05b14ea84006fec5cf73c6b967493662b2cce8030f4b85bcdb39f89b9
2026-08-20T19:17:45Z	c05	scrubbed.hash	7cb2a30b012be30635d07017e7c68ea3
2026-08-20T19:17:45Z	c05	events.lines	1
2026-08-20T19:17:45Z	c05	events.nudges	0
2026-08-20T19:17:45Z	c05	wdlog.lines	18
2026-08-20T19:17:45Z	c05	nudges.total	0
2026-08-20T19:17:50Z	c06	pane.raw.bytes	224
2026-08-20T19:17:50Z	c06	pane.raw.sha256	4e9e2cb05b14ea84006fec5cf73c6b967493662b2cce8030f4b85bcdb39f89b9
