2026-08-20T19:14:14Z	setup	arm	t100-B-waiting-user
2026-08-20T19:14:14Z	setup	knobs	INTERVAL=5 STALE_MIN=1 QUIET_SETTLE_BEAT=1 QUIET_SETTLE=4 QUIET_STABILIZE_PER_CYCLE=4 MAX_NUDGES=2
2026-08-20T19:14:21Z	setup	launch.rc	1
2026-08-20T19:14:21Z	setup	agent.pane	%0
2026-08-20T19:14:21Z	setup	agent.ref	grok:grok
2026-08-20T19:14:21Z	setup	scrubber.sha256	96315e4eb3ec56fc71b4e04366f7a13b4650f44022b950e0fa021d8b283eb4de
2026-08-20T19:14:21Z	ctl0	pane.raw.bytes	130
2026-08-20T19:14:21Z	ctl0	pane.raw.sha256	d6de013fafcb63577459f17981a1486ebd4d74b946f3f7300c56292e0d4970a9
2026-08-20T19:14:21Z	ctl0	scrubbed.hash	f4d64faee4809c73880e9609fdce09a1
2026-08-20T19:14:21Z	ctl	write.tty	/dev/ttys028
2026-08-20T19:14:21Z	ctl	write.text	INSTRUMENT-CONTROL-MARKER-54539
2026-08-20T19:14:22Z	ctl1	pane.raw.bytes	161
2026-08-20T19:14:22Z	ctl1	pane.raw.sha256	b7b91e96f1a86f4d9491370343149c9fa2fc8a986953ebbc86bbb1522e245a9e
2026-08-20T19:14:22Z	ctl1	scrubbed.hash	9828615f167b5b685cedf2a200571787
2026-08-20T19:14:22Z	control	plain-write.hash.before	f4d64faee4809c73880e9609fdce09a1
2026-08-20T19:14:22Z	control	plain-write.hash.after	9828615f167b5b685cedf2a200571787
2026-08-20T19:14:22Z	control	plain-write.registered	YES
2026-08-20T19:14:22Z	control	base.stripped.hash	9828615f167b5b685cedf2a200571787
2026-08-20T19:14:22Z	control	nudge-shaped.hash	9828615f167b5b685cedf2a200571787
2026-08-20T19:14:22Z	control	nudge-shaped.registered	NO
2026-08-20T19:14:22Z	yield	write.tty	/dev/ttys028
2026-08-20T19:14:22Z	yield	write.text	FORCED-INITIAL-YIELD-MARKER-54539
2026-08-20T19:14:22Z	yield	write.done	a marker is written to the observed pane so it demonstrably CHANGES before the declaration
2026-08-20T19:14:22Z	settle0	pane.raw.bytes	194
2026-08-20T19:14:22Z	settle0	pane.raw.sha256	bc36395ba562a16bcd4a324509423c05877d6fb1a00259d03e1c91ee52fd8594
2026-08-20T19:14:22Z	settle0	scrubbed.hash	cc71bf71714be17fb6afba10775c49a9
2026-08-20T19:14:23Z	settle1	pane.raw.bytes	194
2026-08-20T19:14:23Z	settle1	pane.raw.sha256	bc36395ba562a16bcd4a324509423c05877d6fb1a00259d03e1c91ee52fd8594
2026-08-20T19:14:23Z	settle1	scrubbed.hash	cc71bf71714be17fb6afba10775c49a9
2026-08-20T19:14:23Z	yield	settle.samples	1
2026-08-20T19:14:23Z	yield	settle.hash	cc71bf71714be17fb6afba10775c49a9
2026-08-20T19:14:23Z	t0-pre-declaration	pane.raw.bytes	194
2026-08-20T19:14:23Z	t0-pre-declaration	pane.raw.sha256	bc36395ba562a16bcd4a324509423c05877d6fb1a00259d03e1c91ee52fd8594
2026-08-20T19:14:23Z	t0-pre-declaration	scrubbed.hash	cc71bf71714be17fb6afba10775c49a9
2026-08-20T19:14:24Z	t0-pre-declaration	events.lines	0
2026-08-20T19:14:24Z	t0-pre-declaration	events.nudges	0
2026-08-20T19:14:24Z	t0-pre-declaration	wdlog.lines	8
2026-08-20T19:14:25Z	declare	planted.pane	%3
2026-08-20T19:14:25Z	declare	state.rc	0
2026-08-20T19:14:25Z	declare	state.stdout	Marked grok:grok waiting-user: T-100 arm B
2026-08-20T19:14:25Z	declare	planted.pane.retired	the planted window is killed immediately after the helper returns
2026-08-20T19:14:26Z	declaration-echo	write.tty	/dev/ttys028
2026-08-20T19:14:26Z	declaration-echo	write.text	Marked grok:grok waiting-user: T-100 arm B
2026-08-20T19:14:26Z	declare	echo.relocated	Marked grok:grok waiting-user: T-100 arm B
2026-08-20T19:14:28Z	t1-post-declaration	pane.raw.bytes	236
2026-08-20T19:14:28Z	t1-post-declaration	pane.raw.sha256	1fcbaba6049c3b819e1e24dbd8b29aeb91b14ff4ce24d5b40628bb8a63069164
2026-08-20T19:14:28Z	t1-post-declaration	scrubbed.hash	cc71bf71714be17fb6afba10775c49a9
2026-08-20T19:14:28Z	t1-post-declaration	events.lines	1
2026-08-20T19:14:28Z	t1-post-declaration	events.nudges	0
2026-08-20T19:14:28Z	t1-post-declaration	wdlog.lines	9
2026-08-20T19:14:28Z	declare	nudges.at.declaration	0
2026-08-20T19:14:28Z	source	plan	INDUCED RESPONSE: bounded wait for a nudge event, then ONE fixed canned line written to the observed pane; the state is NOT redeclared
2026-08-20T19:14:33Z	c01	pane.raw.bytes	236
2026-08-20T19:14:33Z	c01	pane.raw.sha256	1fcbaba6049c3b819e1e24dbd8b29aeb91b14ff4ce24d5b40628bb8a63069164
2026-08-20T19:14:33Z	c01	scrubbed.hash	cc71bf71714be17fb6afba10775c49a9
2026-08-20T19:14:33Z	c01	events.lines	1
2026-08-20T19:14:33Z	c01	events.nudges	0
2026-08-20T19:14:33Z	c01	wdlog.lines	10
2026-08-20T19:14:33Z	c01	nudges.total	0
2026-08-20T19:14:38Z	c02	pane.raw.bytes	236
2026-08-20T19:14:38Z	c02	pane.raw.sha256	1fcbaba6049c3b819e1e24dbd8b29aeb91b14ff4ce24d5b40628bb8a63069164
2026-08-20T19:14:38Z	c02	scrubbed.hash	cc71bf71714be17fb6afba10775c49a9
2026-08-20T19:14:38Z	c02	events.lines	1
2026-08-20T19:14:38Z	c02	events.nudges	0
2026-08-20T19:14:38Z	c02	wdlog.lines	12
2026-08-20T19:14:38Z	c02	nudges.total	0
2026-08-20T19:14:43Z	c03	pane.raw.bytes	236
2026-08-20T19:14:43Z	c03	pane.raw.sha256	1fcbaba6049c3b819e1e24dbd8b29aeb91b14ff4ce24d5b40628bb8a63069164
2026-08-20T19:14:43Z	c03	scrubbed.hash	cc71bf71714be17fb6afba10775c49a9
2026-08-20T19:14:43Z	c03	events.lines	1
2026-08-20T19:14:43Z	c03	events.nudges	0
2026-08-20T19:14:43Z	c03	wdlog.lines	14
2026-08-20T19:14:43Z	c03	nudges.total	0
2026-08-20T19:14:48Z	c04	pane.raw.bytes	236
